1288780397,{'318612384': 0.6587691816086823, '5871980827': 0.6878597686133514, '223803781': 0.6173199748130863, '223803726': 0.6137686007922908, '1832755256': 0.590397680134487, '3106389173': 0.639550084113178, '1832539790': 0.6491665106923944, '6865246244': 0.6972099565658955, '282276797': 0.6991530081836794, '2681345865': 0.7092926571050477}
1674805035,{'3100190139': 0.26310493356692516, '3101027112': 0.3642577345862124, '455623079': 0.4775093653875227, '96838970': 0.5693770219179114, '2058917961': 0.6315468455662947, '3101030298': 0.5969005543848173, '278547706': 0.5358222849822076, '223803289': 0.5695608101244214, '1675682410': 0.6115155329225413, '2518094240': 0.6425802009119926}
1674808621,{'318612384': 0.5510358694249099, '2517322077': 0.6021470814045354, '2681345865': 0.49615247424026426, '223803241': 0.5318375989805082, '3717672447': 0.607087474513526, '2198567778': 0.510609856579208, '2059702588': 0.5150642204168697, '282314017': 0.5757369491039803, '5872558094': 0.5615399781397978, '3379263383': 0.6135548584439326}
1674810741,{'3071372614': 0.6212939996372405, '2682134054': 0.6172695038904865, '3718482162': 0.589391913822684, '1674815731': 0.36225098426040386, '278544757': 0.51737462526898, '318615817': 0.48332547307581736, '5187088597': 0.31099390585968295, '3107221768': 0.608751249773674, '5677129582': 0.5804901173115833, '5550458351': 0.6320673540302421}
1674815731,{'3071372614': 0.538814937480345, '5187088597': 0.432032706002594, '278544757': 0.4228688653411494, '1674810741': 0.36225098426040386, '223803831': 0.5308610309862549, '318615817': 0.5447565328838532, '3718482162': 0.5564590736891711, '2682134054': 0.571774194145233, '5677129582': 0.5859207764733296, '318614132': 0.6013334407102178}
1674817147,{'7011359121': 0.5962319797034226, '5187089053': 0.5461299649221788, '2682134074': 0.5835270837490487, '278548028': 0.535260240488219, '2681345869': 0.5646070619773554, '3082007427': 0.4951531605499453, '223803444': 0.6203798222835539, '2198569082': 0.6075862665005052, '2892908876': 0.6210591765333805, '5187088935': 0.6227684873885555}
1674819681,{'318616892': 0.6332240631968189, '318612384': 0.6187994266592927, '278548346': 0.6430535794029962, '2872340457': 0.6553635635737592, '40221657': 0.3796203234188844, '40221775': 0.5526088148391533, '5446933791': 0.5164624277957225, '2059702220': 0.6422920192937492, '2517353423': 0.6674475502986867, '2873159696': 0.6938871827821982}
1675673802,{'6880119369': 0.609248917625381, '6865246830': 0.25310208035756127, '2518138434': 0.5362970989386339, '99211987': 0.23819417755851505, '40221721': 0.5006306552004064, '2873158508': 0.24986232187482457, '7011360791': 0.6936671970445442, '5187088529': 0.6998739313226808, '318617097': 0.7187526268861772, '5872537194': 0.7217257480247511}
1675682028,{'282288074': 0.5124019513069256, '3717669919': 0.5037973869483906, '3379261271': 0.4377933706855736, '4040194500': 0.5827708950226342, '3718485998': 0.6078993421828005, '4252617618': 0.609685318598372, '4039417327': 0.6034461014453755, '3379491345': 0.6191974562801503, '4040194506': 0.6225361467789788, '282324684': 0.6400876549631824}
1675682410,{'2872331799': 0.6569069900699172, '1674805035': 0.6115155329225413, '3101027112': 0.5905941393019926, '223803289': 0.4970198410161101, '99211924': 0.6050283309206029, '3100190139': 0.572264256319673, '455623079': 0.7045220899022262, '2682134066': 0.7560163949949185, '278547939': 0.7935241609928081, '2518094240': 0.7988579878001983}
