1288780397,{'1832755256': 0.590397680134487, '223803726': 0.6137686007922908, '223803781': 0.6173199748130863}
1674805035,{'3100190139': 0.26310493356692516, '3101027112': 0.3642577345862124, '455623079': 0.4775093653875227}
1674808621,{'2681345865': 0.49615247424026426, '2198567778': 0.510609856579208, '2059702588': 0.5150642204168697}
1674810741,{'5187088597': 0.31099390585968295, '1674815731': 0.36225098426040386, '318615817': 0.48332547307581736}
1674815731,{'1674810741': 0.36225098426040386, '278544757': 0.4228688653411494, '5187088597': 0.432032706002594}
1674817147,{'3082007427': 0.4951531605499453, '5187089053': 0.5461299649221788, '278548028': 0.535260240488219}
1674819681,{'5446933791': 0.5164624277957225, '40221657': 0.3796203234188844, '40221775': 0.5526088148391533}
1675673802,{'99211987': 0.23819417755851505, '2873158508': 0.24986232187482457, '6865246830': 0.25310208035756127}
1675682028,{'282288074': 0.5124019513069256, '3717669919': 0.5037973869483906, '3379261271': 0.4377933706855736}
1675682410,{'223803289': 0.4970198410161101, '3100190139': 0.572264256319673, '3101027112': 0.5905941393019926}
1675777022,{'2873159696': 0.30980059120655756, '278548346': 0.2235637140643121, '3379263383': 0.3633234558747837}
1675787466,{'5872539894': 0.4978963255963382, '5871980827': 0.5082719989176716, '1831719961': 0.5350326971487722}
1675788826,{'40221740': 0.5086838687183914, '40221751': 0.5633126898133582, '40221687': 0.5789607311522782}
1675789874,{'99211516': 0.49771815518246176, '99211505': 0.5318831197385483, '282304862': 0.5591411073448607}
1675790948,{'99211505': 0.34590071330853195, '2517318209': 0.3753150811536121, '318615210': 0.44547361781660255}
1831692999,{'5900625846': 0.12354035769712818, '5773527861': 0.12452385178128454, '5776754665': 0.1243231931474171}
1831719961,{'5187088529': 0.44695972156218844, '5872539894': 0.3638549178552553, '276319569': 0.46186489842505557}
1831925575,{'278545009': 0.5058750745174747, '5250705062': 0.524821491321911, '5187088935': 0.4573307567092482}
1831927179,{'5172184052': 0.4585391389167804, '3717669919': 0.47199045295323216, '2198567778': 0.5223558545934958}
1832529568,{'1832533352': 0.08924800837777999, '7228788406': 0.10326070859150091, '7228796052': 0.11772689280974986}
1832533352,{'7228796052': 0.07367579447066494, '7228788406': 0.08225752598317958, '1832529568': 0.08924800837777999}
1832534872,{'5677129582': 0.4172453689863737, '1832541240': 0.3802131959469877, '3839702658': 0.512378584145036}
1832536520,{'5164486340': 0.18562380568177003, '9333818080': 0.18575549966896104, '5163879207': 0.18907620745244275}
