8.76 -9.45 -29.64 1.54 -4.35
0.59 -0.21 -1.13 0.25 0.16
0.00 -0.01 -0.06 -0.04 0.00
0.28 -0.89 -4.15 -1.74 2.13
0.00 -0.00 -0.00 0.00 0.01
0.00 -0.00 -0.00 0.00 0.01
0.19 0.00 -0.13 0.04 0.10
0.00 -0.01 -0.02 -0.00 0.02
0.00 -0.01 -0.02 -0.02 -0.01
0.00 -0.00 -0.00 0.00 0.01
0.00 -0.00 -0.00 0.00 0.01
0.00 -0.01 -0.02 -0.02 -0.01
0.00 -0.00 -0.00 0.00 0.01
0.00 -0.00 -0.00 0.00 0.01
0.01 -0.02 -0.08 0.03 0.08
0.00 -0.00 -0.00 0.00 0.01
0.00 -0.00 -0.00 0.00 0.01
0.00 -0.01 -0.02 -0.00 0.04
0.00 -0.00 -0.00 0.00 0.01
4.94 1.46 -1.21 0.66 -1.61
0.65 -0.62 -2.03 -0.97 0.96
0.05 -0.14 -0.50 -0.62 -0.47
1.46 -0.32 -1.86 2.36 -1.27
10.37 -28.19 2.19 -2.59 2.56
0.35 -0.37 -1.19 -0.31 1.16
0.32 -1.02 -4.56 -1.84 2.56
0.00 -0.00 -0.00 0.00 0.01
0.00 -0.00 -0.00 0.00 0.01
4.87 -13.42 4.43 -0.07 -0.55
0.00 -0.01 -0.01 -0.00 0.02
0.11 -0.30 -0.92 -0.04 0.71
0.06 -0.17 -0.40 -0.09 0.24
18.73 -15.67 -58.15 19.50 78.79
10.40 -7.16 -26.42 10.46 44.62
9.16 -3.66 -15.79 10.25 -1.76
0.00 -0.00 -0.00 0.00 0.01
5.47 -14.13 2.08 -0.89 1.00
0.20 -0.21 -0.61 -0.23 0.46
0.01 -0.01 -0.06 0.02 0.09
10.84 -8.03 -32.61 7.96 32.45
3.01 -1.62 -5.70 -0.53 5.84
1.80 -5.01 -22.55 -9.10 12.53
0.32 -1.02 -4.56 -1.82 2.60
0.00 -0.00 -0.01 -0.00 0.01
0.34 -1.09 -4.80 -1.87 2.86
13.88 -9.58 -39.43 17.95 32.42
0.00 -0.00 -0.00 -0.00 0.01
17.43 -18.71 -72.77 -5.31 5.48
0.44 -1.37 -5.67 -2.02 3.78
0.35 -1.12 -4.87 -1.87 2.92
7.08 -8.61 -34.39 -3.84 33.57
1.35 -0.51 -2.43 0.60 2.73
0.00 -0.00 -0.01 -0.01 0.00
0.67 -2.13 -9.44 -3.74 5.46
0.65 -0.55 -1.94 0.41 2.95
0.33 -1.06 -4.68 -1.84 2.73
0.32 -1.02 -4.58 -1.83 2.61
0.00 -0.00 -0.01 -0.00 0.01
0.00 -0.00 -0.00 -0.00 0.01
16.62 -31.36 -10.56 19.91 -0.42
1.18 -1.06 -3.64 0.72 5.19
2.70 -2.76 -10.32 -2.83 8.08
2.38 -3.84 -15.40 -3.12 12.83
0.00 -0.00 -0.01 -0.00 0.01
17.06 -43.16 0.88 -1.91 9.83
0.01 -0.03 -0.07 0.02 0.05
4.94 -13.55 4.10 -0.05 -0.11
0.00 -0.01 -0.05 -0.00 0.09
12.40 -30.21 -3.88 -10.20 -3.99
7.03 -5.72 -20.89 -3.20 15.22
1.64 -0.44 -2.68 -0.02 3.36
1.42 -1.42 -5.01 0.44 6.30
30.95 -76.27 -16.03 0.62 14.87
0.00 -0.01 -0.04 -0.00 0.07
0.95 -0.59 -2.20 0.85 3.67
0.00 -0.00 -0.01 -0.00 0.01
5.84 -5.74 -23.09 -0.87 23.39
30.81 -49.70 -41.03 47.36 -5.30
0.82 -2.39 -8.48 -8.95 -8.29
0.00 -0.00 -0.00 -0.00 0.01
0.00 -0.00 -0.00 -0.00 0.01
11.18 -9.66 -36.37 -3.08 26.11
0.01 -0.00 -0.01 0.01 0.01
0.01 -0.00 -0.01 0.01 0.01
0.09 -0.02 -0.07 0.10 0.08
0.09 -0.02 -0.07 0.10 0.08
0.09 -0.02 -0.07 0.10 0.08
24.56 -15.09 -68.97 52.95 2.51
8.09 -3.74 -18.32 10.90 5.40
8.79 -7.46 -30.82 12.27 -6.30
0.09 -0.02 -0.07 0.10 0.08
0.09 -0.02 -0.07 0.10 0.08
1.91 -0.18 -1.72 0.25 1.37
1.84 -0.97 -5.16 7.62 -3.59
10.20 -6.54 -30.65 22.84 9.32
0.03 -0.01 -0.03 0.03 0.04
0.20 0.01 -0.11 0.08 0.12
0.41 -0.16 -0.61 0.53 0.58
0.02 -0.01 -0.02 0.02 0.02
0.17 -0.04 -0.14 0.20 0.16
1352.05 -29.63 -65.62 95.16 53.66
33.11 -2.68 -32.37 28.37 18.93
0.05 -0.01 -0.04 0.06 0.04
1.78 -1.07 -5.73 9.81 -6.41
0.23 -0.00 -0.14 0.11 0.15
0.02 -0.01 -0.02 0.02 0.02
37.06 -80.03 -29.66 -4.80 34.02
0.02 -0.01 -0.02 0.02 0.02
0.09 -0.02 -0.07 0.10 0.08
85.99 -137.98 -94.77 85.95 89.63
0.02 -0.01 -0.02 0.02 0.02
0.01 -0.00 -0.01 0.01 0.01
0.12 -0.03 -0.10 0.14 0.11
2.02 -1.19 -4.39 1.91 7.58
0.03 -0.03 -0.11 0.05 0.15
0.09 -0.02 -0.07 0.10 0.08
1.88 -1.84 -8.59 10.68 -6.91
0.01 -0.00 -0.01 0.01 0.01
0.83 -0.33 -1.34 1.14 1.87
0.01 -0.00 -0.01 0.01 0.01
0.12 -0.03 -0.10 0.14 0.11
