2.77 6.71 70.22 119.36 2.94
1365.68 747.14 649.17 6974.10 534.91
15.23 0.86 13.16 31.06 0.69
45.65 6.20 84.32 570.84 34.00
48.93 18.28 231.32 71.27 37.20
0.37 0.21 0.21 13.00 0.21
0.51 2.90 20.11 51.14 0.34
14.56 0.03 0.26 0.13 0.02
17.71 0.20 0.90 24.73 30.46
14.65 1.13 10.27 12.70 5.25
18.00 411.66 254.98 45.24 144.12
14.90 11.62 53.02 37.22 1.24
14.56 0.03 0.26 0.13 0.02
14.90 49.81 23.60 6.45 36.23
16.07 6.54 10.78 81.00 0.61
14.96 11.63 15.34 13.20 43.88
22.84 0.05 0.33 5.49 0.29
14.70 13.38 23.62 12.57 43.73
14.56 0.03 0.26 0.13 0.02
360.18 1.03 1.66 99.83 1.30
14.57 0.03 0.59 0.78 0.02
658.34 81.84 43.38 3336.43 9.00
198.59 110.35 47.81 3246.16 106.09
48.60 7.60 39.61 92.06 11.12
14.56 0.03 0.26 0.13 0.02
15.27 1.44 3.09 27.90 0.30
15.46 55.74 22.51 5.34 82.95
14.59 7.27 0.34 0.17 15.63
65.63 1.80 3.91 106.30 31.35
14.63 0.08 0.46 0.18 13.66
64.98 0.06 0.73 32.17 0.06
14.59 0.28 0.57 0.14 0.42
14.57 1.04 1.18 0.13 0.07
14.56 0.70 0.27 0.35 2.12
14.56 0.03 0.26 0.13 0.02
18.32 24.08 8.37 18.94 15.28
212.92 1519.07 724.60 519.99 817.42
2.93 0.00 0.06 0.00 0.00
14.67 0.11 0.26 2.93 0.02
14.86 22.50 25.36 0.66 11.62
18.61 77.52 95.28 37.62 16.97
16.03 0.63 0.41 4.39 1.54
14.69 1.62 0.42 10.23 0.05
14.58 18.81 0.29 0.41 0.91
15.20 0.33 0.38 2.04 0.05
24.68 9.36 21.28 0.26 3.42
15.92 96.24 63.05 17.02 119.77
14.63 0.56 0.32 18.46 0.03
14.56 0.03 0.26 0.13 0.02
14.57 0.45 0.27 7.16 0.55
14.56 0.03 0.26 0.13 0.02
17.52 0.03 0.26 0.17 0.02
1.00 0.00 0.00 0.00 0.00
14.56 0.03 0.26 0.13 0.02
14.84 2.28 14.49 25.57 32.82
14.56 0.03 0.26 0.13 0.02
14.56 0.03 0.26 0.13 0.02
64.11 246.09 180.84 29.09 216.87
14.81 35.19 25.13 1.60 33.27
17.52 0.03 0.29 25.14 0.02
14.65 0.77 0.34 0.13 0.11
14.56 0.03 0.26 0.13 0.02
55.92 10.13 21.91 173.61 0.43
14.56 0.03 0.26 0.13 0.02
14.56 0.03 0.26 0.13 0.02
14.56 0.03 0.26 0.13 0.02
14.56 0.03 0.26 0.13 0.02
14.56 0.03 0.26 0.13 0.02
14.56 0.03 0.26 0.13 0.02
14.56 1.32 0.96 0.14 0.02
74.63 170.19 318.86 42.38 185.94
14.56 0.03 0.26 0.13 0.02
26.05 84.78 122.06 4.90 91.20
14.66 0.03 0.46 0.16 1.67
14.56 0.03 0.26 0.13 0.02
14.56 0.03 0.26 0.13 0.02
18.43 1.08 15.22 12.10 0.17
14.60 0.03 0.27 1.07 0.03
15.03 115.67 71.16 5.68 44.46
2.93 0.00 0.06 0.00 0.00
14.56 0.03 0.26 0.13 0.02
14.58 7.14 3.97 0.18 15.12
44.59 0.35 0.49 12.50 0.07
0.45 0.03 0.07 10.46 3.99
1.53 0.09 0.36 2.70 10.33
2121.95 2678.38 1218.51 9781.99 885.18
1.53 0.09 0.36 2.70 10.33
1.53 0.09 0.36 2.70 10.33
1.96 0.11 0.37 3.07 13.48
934.39 3.49 10.12 49.25 16.74
1.32 0.08 0.35 2.69 9.55
1.53 0.09 0.36 2.70 10.33
1.53 0.09 0.36 2.70 10.33
1.58 0.09 0.36 2.85 11.12
1.53 0.09 0.36 2.70 10.33
1.53 0.09 0.36 2.70 10.33
0.02 3.12 0.03 16.53 0.30
0.25 8.67 5.34 65.41 5.34
0.21 31.34 34.60 4.45 13.40
0.02 0.67 0.06 15.18 0.07
0.10 0.44 0.72 17.31 19.42
0.05 6.42 6.59 39.28 0.66
0.00 0.54 0.01 2.34 0.10
0.02 0.45 0.02 1.52 0.00
0.28 1.05 2.58 51.19 0.90
0.03 2.61 0.33 24.44 0.60
0.00 0.01 0.01 0.97 0.00
1.56 44.33 10.41 150.35 43.35
0.01 0.87 0.19 1.79 0.14
30.50 501.18 29.59 335.60 441.13
0.00 0.01 0.01 0.97 0.00
0.13 6.03 1.32 18.67 0.84
0.36 1.15 14.82 36.28 8.39
0.58 50.87 22.57 171.84 34.14
0.00 0.39 0.02 3.57 0.02
3.07 1.33 145.88 21.36 3.36
