1288780397,{'318612384': 0.6587691816086823, '5871980827': 0.6878597686133514, '223803781': 0.6173199748130863, '223803726': 0.6137686007922908, '1832755256': 0.590397680134487, '3106389173': 0.639550084113178, '1832539790': 0.6491665106923944}
1674805035,{'3100190139': 0.26310493356692516, '3101027112': 0.3642577345862124, '455623079': 0.4775093653875227, '278547706': 0.5358222849822076, '96838970': 0.5693770219179114, '223803289': 0.5695608101244214, '3101030298': 0.5969005543848173}
1674808621,{'2198567778': 0.510609856579208, '223803241': 0.5318375989805082, '2681345865': 0.49615247424026426, '318612384': 0.5510358694249099, '2059702588': 0.5150642204168697, '5872558094': 0.5615399781397978, '282314017': 0.5757369491039803}
1674810741,{'318615817': 0.48332547307581736, '1674815731': 0.36225098426040386, '5187088597': 0.31099390585968295, '278544757': 0.51737462526898, '5677129582': 0.5804901173115833, '3718482162': 0.589391913822684, '3107221768': 0.608751249773674}
1674815731,{'3071372614': 0.538814937480345, '5187088597': 0.432032706002594, '278544757': 0.4228688653411494, '1674810741': 0.36225098426040386, '223803831': 0.5308610309862549, '318615817': 0.5447565328838532, '3718482162': 0.5564590736891711}
1674817147,{'3082007427': 0.4951531605499453, '2681345869': 0.5646070619773554, '2682134074': 0.5835270837490487, '278548028': 0.535260240488219, '5187089053': 0.5461299649221788, '7011359121': 0.5962319797034226, '2198569082': 0.6075862665005052}
1674819681,{'40221775': 0.5526088148391533, '40221657': 0.3796203234188844, '5446933791': 0.5164624277957225, '318612384': 0.6187994266592927, '318616892': 0.6332240631968189, '2059702220': 0.6422920192937492, '278548346': 0.6430535794029962}
1675673802,{'6880119369': 0.609248917625381, '6865246830': 0.25310208035756127, '2518138434': 0.5362970989386339, '99211987': 0.23819417755851505, '40221721': 0.5006306552004064, '2873158508': 0.24986232187482457, '7011360791': 0.6936671970445442}
1675682028,{'282288074': 0.5124019513069256, '3717669919': 0.5037973869483906, '3379261271': 0.4377933706855736, '4040194500': 0.5827708950226342, '3718485998': 0.6078993421828005, '4252617618': 0.609685318598372, '4039417327': 0.6034461014453755}
1675682410,{'2872331799': 0.6569069900699172, '1674805035': 0.6115155329225413, '3101027112': 0.5905941393019926, '223803289': 0.4970198410161101, '99211924': 0.6050283309206029, '3100190139': 0.572264256319673, '455623079': 0.7045220899022262}
1675777022,{'278548346': 0.2235637140643121, '3379263383': 0.3633234558747837, '2873159696': 0.30980059120655756, '2517322077': 0.3808564121423236, '223803241': 0.3926838219193874, '2059702588': 0.46276513871404984, '318612384': 0.5196231163610178}
1675787466,{'7011360791': 0.5956349995206689, '5872539894': 0.4978963255963382, '2058915725': 0.6034711420495095, '1831719961': 0.5350326971487722, '5187088529': 0.6089052765893946, '5871980827': 0.5082719989176716, '318613478': 0.5443080985274514}
1675788826,{'40221687': 0.5789607311522782, '40221740': 0.5086838687183914, '40221751': 0.5633126898133582, '2872336521': 0.6192822507172275, '2058915961': 0.6493274062416861, '282306405': 0.6570322291115233, '223803340': 0.6545890206982954}
1675789874,{'99211516': 0.49771815518246176, '99211505': 0.5318831197385483, '282304862': 0.5591411073448607, '2811278670': 0.5661935242425896, '5937150857': 0.5905138612658881, '466220980': 0.5664666946024958, '318615210': 0.5916322367449443}
1675790948,{'99211505': 0.34590071330853195, '2517318209': 0.3753150811536121, '3296559575': 0.483823643494328, '5937150857': 0.4853507787288644, '318615210': 0.44547361781660255, '2811278670': 0.4876971697890023, '5041829373': 0.5136070419516132}
1831692999,{'5773527861': 0.12452385178128454, '5776755867': 0.13477077619403885, '5900625846': 0.12354035769712818, '5776754665': 0.1243231931474171, '3903127652': 0.12969533400848415, '7228807544': 0.1284389377737029, '7228796052': 0.13732075870239313}
1831719961,{'1675787466': 0.5350326971487722, '5187088529': 0.44695972156218844, '5872539894': 0.3638549178552553, '282276797': 0.5377417996327801, '5872538040': 0.5182110065025682, '2058915725': 0.49176496445217005, '276319569': 0.46186489842505557}
1831925575,{'278545009': 0.5058750745174747, '5250705062': 0.524821491321911, '5187088935': 0.4573307567092482, '5187688058': 0.5362663980920547, '276319569': 0.5688781676848764, '1832544374': 0.5577328196825554, '282276797': 0.5428845007740981}
1831927179,{'5172184052': 0.4585391389167804, '3717669919': 0.47199045295323216, '2198567778': 0.5223558545934958, '282314017': 0.5958797841288231, '513594929': 0.5784845810089035, '282328625': 0.5964663031597635, '3718485998': 0.5984165706763419}
1832529568,{'1832533352': 0.08924800837777999, '7228788406': 0.10326070859150091, '7228796052': 0.11772689280974986, '6853242318': 0.13065680223858944, '5776755867': 0.13221778248321728, '5776754665': 0.13391869508650192, '5250102031': 0.14697279612130945}
1832533352,{'1832529568': 0.08924800837777999, '2526804633': 0.09351854647674773, '7228796052': 0.07367579447066494, '7228788406': 0.08225752598317958, '6853242318': 0.09229812922307801, '5776754665': 0.09834294671445408, '7228807544': 0.1046042012233444}
1832534872,{'5677129582': 0.4172453689863737, '1832541240': 0.3802131959469877, '3839702658': 0.512378584145036, '2682134054': 0.5550492548507006, '3718482162': 0.5557025775015635, '2516163434': 0.5574555671326188, '223803883': 0.5750513763212635}
1832536520,{'5164486340': 0.18562380568177003, '9333818080': 0.18575549966896104, '5163879207': 0.18907620745244275, '5777309412': 0.20410772165242205, '5163881339': 0.20249576267905867, '3892794411': 0.204736648731882, '5773417047': 0.21267915141401536}
1832538318,{'2058916965': 0.3550218582554432, '513594929': 0.4343233823811374, '40221707': 0.3269786342122054, '2681337025': 0.38517715295099614, '7011360169': 0.4412315672586703, '2872340457': 0.5486148250584699, '40221775': 0.5684646553497112}
1832539790,{'318612384': 0.6321019239522114, '1288780397': 0.6491665106923944, '1832755256': 0.6501809793656865, '96842062': 0.6618302477308737, '2517322077': 0.6623044394166283, '3107221768': 0.6566003533521322, '278548241': 0.6766859623097524}
1832541240,{'1832534872': 0.3802131959469877, '3839702658': 0.4867739454518246, '5871984511': 0.5358865278393097, '223803883': 0.5390188618438068, '5187687918': 0.5404798174696612, '3070534991': 0.5783920580505577, '5677129582': 0.5875048067663494}
1832542742,{'2058916245': 0.5741173821959672, '282297251': 0.5919092064700769, '5872537752': 0.517785603503687, '2516163434': 0.6070095643434519, '318617097': 0.6131071774423754, '3071372614': 0.6249143354542966, '7011360791': 0.6299714337864536}
1832544374,{'424211156': 0.4302485266147652, '5262805006': 0.37095947598278695, '3380078874': 0.40033530059351186, '3379488139': 0.4651747292649539, '7799190456': 0.49275667187963756, '3717672447': 0.5069244162933428, '5256492464': 0.5079426785794602}
1832545692,{'223803380': 0.668338587053473, '318613478': 0.5187567863644111, '40221721': 0.5420528110171411, '2518138434': 0.552628036413243, '3106390483': 0.7170418681489666, '2872334059': 0.6925444941762713, '2873158508': 0.6779208273209368}
1832755256,{'282276797': 0.5926621256499557, '5872538040': 0.6496403458075913, '96842062': 0.5098435551483793, '99211296': 0.6426473265506447, '1831927179': 0.6458584180229141, '1288780397': 0.590397680134487, '1832539790': 0.6501809793656865}
2058915459,{'5187088383': 0.25476485894852463, '223803205': 0.2441431921299, '2892908876': 0.2855186667481484, '223803444': 0.4439544356990328, '278545009': 0.4468085586734944, '5187088935': 0.47624187785349037, '223803556': 0.45583211293473963}
2058915725,{'5187098973': 0.4568047331350536, '2682134060': 0.5349523830084523, '5872539894': 0.4481944452158441, '276319569': 0.48657272075811653, '5872007993': 0.5404471367438609, '1831719961': 0.49176496445217005, '318614474': 0.4922279170909279}
2058915961,{'40221751': 0.36822545901527354, '278547181': 0.34029045922193213, '2681337007': 0.349003807245112, '40221783': 0.36398144194944143, '40221740': 0.3745666481546775, '223803340': 0.43954400070040484, '2872336521': 0.4577052642898234}
2058916245,{'5677129582': 0.5621348430921127, '3071372614': 0.4541971501541022, '5187088597': 0.5328742719568257, '2516163434': 0.4567188813598202, '3337175001': 0.5451628506242688, '3839702658': 0.5136101647642083, '5871984511': 0.5350221131302931}
2058916965,{'2681337025': 0.3668310089582122, '1832538318': 0.3550218582554432, '40221707': 0.31192521157094577, '2059702220': 0.4522727332262369, '6865245266': 0.4822215243827092, '2872340457': 0.4936632665216756, '5446933791': 0.5157750680108563}
2058917075,{'318614132': 0.3790429092188262, '2681337017': 0.41449875476134873, '3718480452': 0.41849903891779466, '2682134056': 0.46357019096438457, '5872554998': 0.4201127508431988, '2059701494': 0.39871161388190923, '3106388273': 0.4784701883328523}
2058917961,{'5872558094': 0.49758506287942106, '2517353423': 0.497396507632467, '278547706': 0.5386997456791718, '2873164682': 0.6005366537744368, '455623079': 0.5441828702293513, '3102384681': 0.6270968967096412, '2681337017': 0.6289958682840967}
2059701494,{'2058917075': 0.39871161388190923, '2681337017': 0.4210123651305741, '3102381947': 0.39975608968032894, '3100192297': 0.4418414829195737, '96841629': 0.48095173698309973, '5187688576': 0.48650242066815225, '3106388273': 0.4890902626244339}
2059702220,{'6865245266': 0.39447840419090213, '5446933791': 0.38444660329099106, '40221707': 0.4515103122373078, '40221775': 0.4517528041297012, '2681337025': 0.48926800458076203, '2058916965': 0.4522727332262369, '2872340457': 0.5002983494478059}
2059702588,{'2873159696': 0.4794453355834658, '1674808621': 0.5150642204168697, '278548346': 0.48703657607512246, '2198567778': 0.47384300001362784, '1675777022': 0.46276513871404984, '3379263383': 0.3980562051804423, '223803241': 0.5273208635495618}
2198567778,{'5172184052': 0.5364884181955734, '1831927179': 0.5223558545934958, '1674808621': 0.510609856579208, '2059702588': 0.47384300001362784, '40221775': 0.55104996318228, '513594929': 0.5345378575334719, '282314017': 0.5696185733519523}
2198568402,{'2516163434': 0.534875007294288, '2681345869': 0.5262190093795412, '5187687918': 0.44916853902303083, '5187688058': 0.5548158508779012, '7011359121': 0.5711754144374901, '5871984511': 0.5713462938091913, '2682134074': 0.5846494621458039}
2198569082,{'3082007427': 0.46904064911140153, '223803444': 0.3677716049580876, '223803556': 0.2858228425782533, '2872339127': 0.3993704103773965, '2892908876': 0.473143888150671, '5187088935': 0.4945790775076148, '5187089053': 0.2810125437480002}
223803205,{'2892908876': 0.23690882384473816, '223803556': 0.2826416804012623, '5187088383': 0.2317861386787577, '2058915459': 0.2441431921299, '223803444': 0.2996054415342038, '278545009': 0.417108898284012, '3082007427': 0.43030011099413235}
223803241,{'2517322077': 0.5307109901601843, '1674808621': 0.5318375989805082, '278548346': 0.4156420644598285, '2681345865': 0.5078203575582798, '2059702588': 0.5273208635495618, '2873159696': 0.40851849520844896, '1675777022': 0.3926838219193874}
223803289,{'3101027112': 0.37397320978050164, '455623079': 0.46507296645447505, '2682134066': 0.353677336466509, '3100190139': 0.4275677777415501, '1675682410': 0.4970198410161101, '223803831': 0.544501896788592, '2872331799': 0.5268097362354017}
223803340,{'318612843': 0.47116843196224756, '2058915961': 0.43954400070040484, '40221740': 0.4503399813659347, '282306405': 0.4796083183281813, '2872336521': 0.5017563540864569, '4039454813': 0.5561806127860824, '278547181': 0.5593191960829089}
223803380,{'5872572524': 0.649952815522565, '40221721': 0.6332242901504275, '99211516': 0.6039482717695276, '318615210': 0.6374617877536757, '1832545692': 0.668338587053473, '318614474': 0.6893307502276184, '3296559575': 0.6931526511855363}
223803444,{'5187089053': 0.39790645580942946, '2892908876': 0.3260619276971015, '223803556': 0.29182263383103374, '3082007427': 0.36952472088395605, '223803205': 0.2996054415342038, '2198569082': 0.3677716049580876, '2058915459': 0.4439544356990328}
223803485,{'3718480452': 0.49075261403313347, '2059701494': 0.5379894125239119, '2681337017': 0.5550907183948821, '3100192297': 0.5386324373000468, '6865246244': 0.48706482395454115, '3102381947': 0.5376075520650145, '3106388273': 0.5739571852186351}
223803556,{'223803205': 0.2826416804012623, '2872339127': 0.31000585662595215, '2198569082': 0.2858228425782533, '2892908876': 0.2828681556541462, '223803444': 0.29182263383103374, '5187088383': 0.3449330911427671, '3082007427': 0.37748683984053766}
